ts,ppg_raw,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,hr
1781506359760,2084941,4.25841,-3.6141398,8.097685,0.002443461,-0.004886922,-0.0012217305,72
1781506359803,2084941,4.25841,-3.6141398,8.097685,-0.0012217305,-0.0036651916,0.002443461,72
1781506359842,2082980,4.227274,-3.6596458,8.083315,0.0061086523,0.0,0.004886922,72
1781506359884,2082980,4.227274,-3.6596458,8.083315,-0.007330383,0.0,-0.002443461,72
1781506359922,2082608,4.2152987,-3.6117446,8.047389,0.002443461,0.0036651916,-0.002443461,72
1781506359960,2082355,4.148237,-3.578214,8.107265,-0.004886922,0.0061086523,0.0012217305,72
1781506360001,2082169,4.2440395,-3.5973744,8.083315,0.0012217305,0.007330383,0.0,72
1781506360041,2082370,4.181768,-3.662041,8.092895,-0.004886922,0.0036651916,0.0,72
1781506360080,2082733,4.2009287,-3.6835964,8.112056,0.002443461,0.002443461,0.0012217305,72
1781506360121,2083410,4.25841,-3.6309052,8.102475,-0.0012217305,0.0012217305,0.0012217305,72
1781506360163,2084166,4.2799654,-3.6788063,8.107265,0.002443461,0.0012217305,0.002443461,72
1781506360202,2084991,4.2440395,-3.5542634,8.0905,0.0,0.0012217305,0.0,72
1781506360241,2084991,4.2440395,-3.5542634,8.0905,0.0,0.0012217305,0.0,72
1781506360282,2085816,4.2775702,-3.6117446,8.10966,0.002443461,-0.0012217305,-0.0012217305,72
1781506360321,2087700,4.203324,-3.6428804,8.052179,-0.0012217305,-0.0012217305,-0.002443461,72
1781506360361,2088682,4.2440395,-3.62372,8.133611,0.0036651916,-0.0012217305,0.0,72
1781506360401,2088682,4.2440395,-3.62372,8.133611,-0.008552114,-0.002443461,-0.002443461,72
1781506360442,2090801,4.2847557,-3.6045597,8.056969,-0.0036651916,0.002443461,-0.004886922,72
1781506360480,2092000,4.1434474,-3.6524606,8.088105,-0.0012217305,-0.0036651916,-0.013439035,72
1781506360523,2092000,4.1434474,-3.6524606,8.088105,-0.002443461,-0.008552114,-0.0061086523,72
1781506360560,2090218,4.222484,-3.6069546,8.124031,0.004886922,-0.0061086523,0.0012217305,71
1781506360600,2090218,4.222484,-3.6069546,8.124031,0.0036651916,0.0,-0.0012217305,71
1781506360640,2086803,4.2823606,-3.6356952,8.124031,-0.004886922,-0.0012217305,-0.007330383,71
1781506360681,2084465,4.1985335,-3.5614486,8.1000805,0.0036651916,0.0012217305,-0.0036651916,71
1781506360721,2082367,4.2727804,-3.6333003,8.073734,-0.0061086523,-0.002443461,0.0061086523,71
1781506360761,2082357,4.2057185,-3.662041,8.112056,0.002443461,-0.0012217305,0.004886922,71
1781506360801,2082357,4.2057185,-3.662041,8.112056,-0.007330383,-0.002443461,-0.0061086523,71
1781506360841,2082253,4.174583,-3.6117446,8.07613,-0.004886922,-0.004886922,-0.013439035,71
1781506360882,2081650,4.256015,-3.5997694,8.059364,-0.002443461,-0.013439035,-0.012217305,71
1781506360930,2081640,4.212904,-3.5566585,8.068944,-0.0061086523,-0.017104227,-0.008552114,71
1781506360961,2081928,4.1985335,-3.6524606,8.140796,-0.0012217305,-0.014660766,-0.007330383,71
1781506361001,2082598,4.2464347,-3.5542634,8.083315,-0.009773844,-0.010995574,-0.010995574,71
1781506361042,2083262,4.1985335,-3.6189299,8.078525,-0.0012217305,-0.0036651916,-0.015882496,71
1781506361083,2084065,4.1697927,-3.6476705,8.1000805,-0.002443461,-0.0012217305,-0.0012217305,71
1781506361123,2085003,4.1889534,-3.62372,8.059364,-0.0061086523,0.0,0.017104227,71
1781506361161,2085003,4.1889534,-3.62372,8.059364,-0.004886922,-0.002443461,0.017104227,71
1781506361201,2085837,4.126682,-3.6380904,8.1000805,-0.002443461,-0.0012217305,-0.008552114,71
1781506361241,2086790,4.265595,-3.6021645,7.9875126,0.0036651916,-0.015882496,-0.02076942,71
1781506361282,2088820,4.260805,-3.6979668,7.9899073,0.004886922,-0.021991149,-0.0061086523,71
1781506361321,2089904,4.3302617,-3.6356952,8.052179,-0.012217305,-0.004886922,0.002443461,71
1781506361361,2089904,4.3302617,-3.6356952,8.052179,-0.002443461,0.010995574,-0.008552114,71
1781506361400,2091022,4.2344594,-3.621325,7.9899073,-0.021991149,0.0061086523,-0.013439035,71
1781506361441,2090920,4.294336,-3.6356952,8.016253,-0.0061086523,-0.0061086523,-0.014660766,71
1781506361480,2087494,4.217694,-3.6907816,8.009068,-0.014660766,-0.0036651916,-0.0012217305,71
1781506361521,2083931,4.306311,-3.62372,8.011463,-0.010995574,0.0036651916,0.014660766,71
1781506361561,2081481,4.212904,-3.6404853,8.08571,-0.014660766,0.002443461,0.010995574,71
1781506361601,2078401,4.3566074,-3.6021645,7.9970927,-0.004886922,-0.0036651916,-0.010995574,71
1781506361640,2077802,4.1242867,-3.666831,8.006673,0.012217305,-0.02443461,-0.019547688,71
1781506361681,2077188,4.25841,-3.6404853,8.068944,0.017104227,-0.02076942,-0.0061086523,71
1781506361721,2077188,4.25841,-3.6404853,8.068944,0.008552114,0.0036651916,0.0012217305,71
1781506361762,2075692,4.2799654,-3.6021645,8.083315,-0.002443461,0.014660766,-0.007330383,71
1781506361800,2075453,4.229669,-3.5734239,8.056969,-0.002443461,0.008552114,-0.007330383,71
1781506361840,2075359,4.265595,-3.6476705,8.006673,0.0012217305,-0.007330383,0.0,71
1781506361883,2075359,4.265595,-3.6476705,8.006673,0.012217305,-0.004886922,0.014660766,71
1781506361921,2076043,4.2464347,-3.6596458,8.121635,0.013439035,0.012217305,0.02687807,71
1781506361961,2076043,4.2464347,-3.6596458,8.121635,-0.0012217305,0.015882496,0.002443461,71
1781506362003,2076494,4.1961384,-3.6380904,8.047389,0.015882496,-0.0012217305,-0.017104227,71
1781506362042,2077632,4.2727804,-3.6380904,8.016253,0.012217305,-0.03176499,-0.007330383,71
1781506362083,2078300,4.24883,-3.6548557,8.037808,0.019547688,-0.02443461,0.013439035,71
1781506362122,2079021,4.3542123,-3.542288,8.159956,0.012217305,0.012217305,-0.0012217305,71
1781506362162,2079808,4.3374467,-3.5614486,8.136005,-0.019547688,0.032986723,-0.014660766,71
1781506362200,2080797,4.275175,-3.6285102,8.066549,-0.009773844,0.017104227,-0.018325957,71
1781506362241,2080797,4.275175,-3.6285102,8.066549,-0.013439035,-0.012217305,-0.007330383,71
1781506362281,2081473,4.3709774,-3.6045597,7.9659567,0.002443461,-0.017104227,0.009773844,71
1781506362322,2079019,4.294336,-3.657251,8.080919,0.004886922,0.013439035,0.02076942,71
1781506362361,2075014,4.2871504,-3.5686338,8.119241,-0.019547688,0.017104227,0.0061086523,71
1781506362401,2069926,4.1865582,-3.657251,7.942006,0.018325957,0.007330383,-0.014660766,71
1781506362441,2069926,4.1865582,-3.657251,7.942006,0.0,-0.030543262,-0.002443461,71
1781506362482,2068273,4.220089,-3.6404853,8.009068,0.02687807,-0.03176499,0.004886922,71
1781506362520,2067098,4.347027,-3.5853992,8.12882,0.004886922,0.0036651916,0.0012217305,71
1781506362562,2067098,4.347027,-3.5853992,8.12882,-0.004886922,0.029321533,-0.012217305,71
1781506362602,2066045,4.26799,-3.6356952,8.035414,-0.014660766,0.015882496,-0.015882496,71
1781506362642,2065716,4.217694,-3.6285102,8.066549,-0.015882496,-0.013439035,-0.0012217305,71
1781506362680,2065691,4.265595,-3.7267075,8.064155,0.0061086523,-0.013439035,0.0061086523,71
1781506362721,2065691,4.265595,-3.7267075,8.064155,-0.0036651916,0.009773844,0.013439035,71
1781506362762,2065882,4.332657,-3.6309052,8.140796,0.0,0.02321288,0.007330383,71
1781506362803,2066263,4.239249,-3.62372,8.083315,0.007330383,0.014660766,-0.015882496,71
1781506362843,2067527,4.2799654,-3.6859915,8.016253,0.0036651916,-0.018325957,-0.015882496,71
1781506362882,2068216,4.212904,-3.671621,7.9970927,0.02321288,-0.02565634,0.0061086523,71
1781506362921,2069008,4.24883,-3.6309052,8.155167,0.009773844,0.004886922,0.013439035,71
1781506362961,2069008,4.24883,-3.6309052,8.155167,-0.002443461,0.028099801,-0.009773844,71
1781506363005,2070652,4.301521,-3.5183375,8.073734,-0.014660766,0.028099801,-0.018325957,71
1781506363041,2071606,4.2416444,-3.5973744,7.9970927,-0.015882496,0.007330383,-0.010995574,71
1781506363083,2071606,4.2416444,-3.5973744,7.9970927,0.002443461,-0.0061086523,0.0,71
1781506363121,2072644,4.203324,-3.7147322,8.040204,-0.008552114,0.0,0.012217305,71
1781506363161,2069190,4.2320642,-3.6285102,8.07613,0.008552114,0.015882496,0.017104227,71
1781506363203,2069190,4.2320642,-3.6285102,8.07613,-0.002443461,0.012217305,-0.007330383,71
